algorithm,seed,reference_productivity,reference_process_yield,HV
MOEAD_WS,23,0.1,0.05,0.2666755212941521
MOEAD_WS,23,0.2,0.1,0.19085524428940562
MOEAD_WS,29,0.0,0.0,0.3514789978910968
MOEAD_WS,29,0.05,0.02,0.3126123169982612
MOEAD_WS,29,0.1,0.05,0.2656552700161832
MOEAD_WS,29,0.2,0.1,0.18983154214126957
MOEAD_WS,31,0.0,0.0,0.35211702121158417
MOEAD_WS,31,0.05,0.02,0.31334211555496433
MOEAD_WS,31,0.1,0.05,0.2665189579749706
MOEAD_WS,31,0.2,0.1,0.1909208947383567
MOEAD_WS,37,0.0,0.0,0.34964761545774165
MOEAD_WS,37,0.05,0.02,0.31084567235987115
MOEAD_WS,37,0.1,0.05,0.26396817489745883
MOEAD_WS,37,0.2,0.1,0.1882887343371759
MOEAD_WS,41,0.0,0.0,0.35075183946403105
MOEAD_WS,41,0.05,0.02,0.31188457392150665
MOEAD_WS,41,0.1,0.05,0.26492669398483926
MOEAD_WS,41,0.2,0.1,0.18910154850564734
MOEAD_WS,43,0.0,0.0,0.3512304828565983
MOEAD_WS,43,0.05,0.02,0.31237086874989517
MOEAD_WS,43,0.1,0.05,0.26542008584859067
MOEAD_WS,43,0.2,0.1,0.18960968884058324
MOEAD_WS,47,0.0,0.0,0.3423935159764593
MOEAD_WS,47,0.05,0.02,0.30361571950479066
MOEAD_WS,47,0.1,0.05,0.2567821272808778
MOEAD_WS,47,0.2,0.1,0.18117073858529623
MOEAD_WS,53,0.0,0.0,0.35124495621449536
MOEAD_WS,53,0.05,0.02,0.31242471206125866
MOEAD_WS,53,0.1,0.05,0.2655266113387307
MOEAD_WS,53,0.2,0.1,0.18980826646296592
MOEAD_WS,59,0.0,0.0,0.3498290623938892
MOEAD_WS,59,0.05,0.02,0.3109975731579645
MOEAD_WS,59,0.1,0.05,0.2640765250434678
MOEAD_WS,59,0.2,0.1,0.18832398769304626
MOEAD_WS,61,0.0,0.0,0.35172077171092186
MOEAD_WS,61,0.05,0.02,0.3129178872544093
MOEAD_WS,61,0.1,0.05,0.26605099742129207
MOEAD_WS,61,0.2,0.1,0.19038122313166242
MOEAD_WS,67,0.0,0.0,0.35212401405244204
MOEAD_WS,67,0.05,0.02,0.3132781124205125
MOEAD_WS,67,0.1,0.05,0.2663407189647771
MOEAD_WS,67,0.2,0.1,0.19055742387711205
MOEAD_WS,71,0.0,0.0,0.34988302361418155
MOEAD_WS,71,0.05,0.02,0.3110284935334031
MOEAD_WS,71,0.1,0.05,0.26408894364676033
MOEAD_WS,71,0.2,0.1,0.18829486367933904
MOEAD_WS,73,0.0,0.0,0.3517323660307614
MOEAD_WS,73,0.05,0.02,0.3128872094254002
MOEAD_WS,73,0.1,0.05,0.2659602841535316
MOEAD_WS,73,0.2,0.1,0.19018820227630173
MOEAD_WS,79,0.0,0.0,0.3524745251168211
MOEAD_WS,79,0.05,0.02,0.31362409481338416
MOEAD_WS,79,0.1,0.05,0.2666914837972846
MOEAD_WS,79,0.2,0.1,0.19090844247774819
MOEAD_WS,83,0.0,0.0,0.3493541034453251
MOEAD_WS,83,0.05,0.02,0.31054029442934045
MOEAD_WS,83,0.1,0.05,0.2636602756432204
MOEAD_WS,83,0.2,0.1,0.18796644784111619
MOEAD_WS,89,0.0,0.0,0.35279996362754473
MOEAD_WS,89,0.05,0.02,0.3140183547444605
MOEAD_WS,89,0.1,0.05,0.2671637621484103
MOEAD_WS,89,0.2,0.1,0.19152756066927615
MOEAD_WS,97,0.0,0.0,0.3472181896168491
MOEAD_WS,97,0.05,0.02,0.30853889816162555
MOEAD_WS,97,0.1,0.05,0.2618628788339685
MOEAD_WS,97,0.2,0.1,0.1865075680510879
MOEAD_WS,101,0.0,0.0,0.3516559775130321
MOEAD_WS,101,0.05,0.02,0.31280000886970577
MOEAD_WS,101,0.1,0.05,0.2658590773976597
MOEAD_WS,101,0.2,0.1,0.19006217728228725
MOEAD_WS,103,0.0,0.0,0.3514687040861172
MOEAD_WS,103,0.05,0.02,0.31261941934032006
MOEAD_WS,103,0.1,0.05,0.2656798074785134
MOEAD_WS,103,0.2,0.1,0.1898909108709097
MOEAD_WS,107,0.0,0.0,0.3462059864731802
MOEAD_WS,107,0.05,0.02,0.30738470756116065
MOEAD_WS,107,0.1,0.05,0.26049007965153953
MOEAD_WS,107,0.2,0.1,0.18477417282989847
MOEAD_WS,109,0.0,0.0,0.3513382951246023
MOEAD_WS,109,0.05,0.02,0.31248345376623415
MOEAD_WS,109,0.1,0.05,0.2655429223131088
MOEAD_WS,109,0.2,0.1,0.18974754950161524
MOEAD_WS,113,0.0,0.0,0.3527925234316656
MOEAD_WS,113,0.05,0.02,0.31396182701402153
MOEAD_WS,113,0.1,0.05,0.26703956301834897
MOEAD_WS,113,0.2,0.1,0.19128660260503275
MOEAD_ASF,2,0.0,0.0,0.3516812249185463
MOEAD_ASF,2,0.05,0.02,0.3133103283834017
MOEAD_ASF,2,0.1,0.05,0.26706054677213054
MOEAD_ASF,2,0.2,0.1,0.19243986862571483
MOEAD_ASF,3,0.0,0.0,0.3536605665509256
MOEAD_ASF,3,0.05,0.02,0.3151584418556635
MOEAD_ASF,3,0.1,0.05,0.2686067466947346
MOEAD_ASF,3,0.2,0.1,0.19355292683854355
MOEAD_ASF,5,0.0,0.0,0.34873052605811045
MOEAD_ASF,5,0.05,0.02,0.3107205028506153
MOEAD_ASF,5,0.1,0.05,0.2648612321564458
MOEAD_ASF,5,0.2,0.1,0.19099193825478106
MOEAD_ASF,7,0.0,0.0,0.354826376140562
MOEAD_ASF,7,0.05,0.02,0.31614114648995717
MOEAD_ASF,7,0.1,0.05,0.2694446127678499
MOEAD_ASF,7,0.2,0.1,0.19406284939513802
MOEAD_ASF,11,0.0,0.0,0.3494616767208074
MOEAD_ASF,11,0.05,0.02,0.31126840296804165
